review,sentiment
"I've watched a lot of television in my 51 years, but I've never had so much fun week after week, as I had watching Oz. The acting by the entire cast was excellent. The writing was just perfect, with every character remaining consistent throughout the six year run. I also enjoyed the mayhem and the ultra-violence. It may sound odd, but it was at times, comical finding out how one of the characters would eventually end up dead. I particularly enjoyed the true romance and love between Beecher and Keller. Those two men really knew how to throw down, in every way possible. I truly hope that HBO will continue to show us re-runs of this great show FOREVER! I've watched every episode at least 4 times yet I still look forward to Tuesday and Thursday nights at 11 p.m. for an episode of this fun and very entertaining show.",positive
"""Cut"" is a full-tilt spoof of the slasher genre and in the main it achieves what it sets out to do. Most of the standard slasher cliches are there; the old creepy house, the woods, the anonymous indestructible serial killer, buckets of gore, and of course the couple interrupted by the killer while they're having sex (that's hardly a spoiler).<br /><br />The set-up is simplicity itself: film-school nerds set out to complete an unfinished slasher ""masterpiece"", unfinished because of the murders of a couple of the cast. This also neatly - okay, messily - disposes of Kylie Minogue in the first reel. They are joined by one of the survivors of the original film, played by Molly Ringwald who absolutely steals the film because she gets all the best lines. The rest of the cast fit their roles well, especially the lovely Jessica Napier, who plays it straight while the mayhem and gore erupt around her.<br /><br />There are plenty of red herrings and fake suspenseful moments, and there is very little time to try to work out who the killer is because the film moves at such a fast pace. It also has an appropriate low budget look, including some clumsy editing which is probably deliberate. Good soundtrack, too. If there is a difficulty with this film it is deciding whether it is a send-up of or a homage to the slasher genre. Probably a bit of both.",positive
"I am a MAJOR fan of the horror genre! I LOVE horror/slasher/gore flicks of all kinds. Some of my favorites are the really ""good"" bad horror flicks. But this movies has NOTHING to warrant it's viewing!! I'm not going to spend a lot of time talking about everything that's wrong with it.<br /><br />The script is horrid. The acting is horrid. The FX are not even worth discussing. The ""set"" is an absolute JOKE!! The sad thing is I think there MAY be some real potential in a couple of the actors, but this vehicle left them NOTHING to work with!!!<br /><br />Suffice it to say I saw it for ""free"" & feel I was robbed!! The time you'd WASTE watching this would be better spent flossing your cat.",negative
"It's a shame, really, that the script of this film had more holes than you could shake a stick at (mixed metaphor intentional), because Kinski and Coyote - both supremely talented performers who are capable of great subtlety and nuance - have wonderful chemistry together, and the always-provocative Fairuza Balk didn't hurt the mix either. Jeremy Piven would have been great here too, if his character (and all the other supporting characters) hadn't been written as a plot device. As for the main proceedings, the writers just didn't know how to create the suitable guilty-or-innocent tension for Kinski's character -- instead they gave us confusion, contradiction and, by the finale, downright let's-hope-the-viewers-don't-notice claptrap.",negative
"Zarkorr is one bad movie. This doesn't even rate in the so bad its good category. It's just bad. From the (lack of) set design to the acting to the special effects, everything about this movie stinks. For starters, the film looks like it was filmed in just empty rooms with a couple of props thrown in to make it look good. Then we get acting that is so bad that it makes a high school play look like it was an Oscar candidate. And to top it all off, there's the special effects that are so bad that they look like an amateur pulled them off in their garage. The towns that the monster is supposedly crushing look like my nephew's train set. So obviously fake that they scream out at the viewer. The only good thing about the movie is the monster suit. Its just too bad that they spent all their budget on that and left nothing for the rest of the film. And maybe a decent script would have helped too.",negative
"First of all, I would like to say that I am a fan of all of the actors that appear in this film and at the time that I rented it, I wanted to like it.<br /><br />I think that the main reason that I was so disappointed was that the outside box promised me a suspense thriller. In my eyes, a suspense thriller for British movies is like something out of a Ruth Rendell novel, something that has a lot of dark twist and turns and leaves the viewer with an ending that is unlikely to be forgotten anytime soon.<br /><br />This movie started out with the promising note of being such a film. We have our main character, that suspects a man that he does not like, of being involved in a hit and run that killed the husband of one of his servants.His notions prove to be right, but the idea that his wife might be involved, does not occur to him until that she confesses to him that she was a part of the crime.<br /><br />The elements of a good suspense thriller were in place, at this point, but from there, I felt that the film took a different direction and became almost some sort of a mild soap opera about who wants to be with who and what the love of a real relationship is. The film might have been enjoyable to me, if the outside box had talked of a twisted lover's triangle and had not been labeled as suspense thriller.This seemed to be more of a soap opera story and the beginning setting seemed to be a mild distraction to the true content of the film. I felt like this film could have done a whole lot better than it did. I felt like it kept leading the viewer up to a big event that never materialized. So, I have to give it a lower rating than I would have liked to and say that it fell short of my expectations.",negative
"Being a science fiction fan from my early childhood (long time since) I always hated implausible plots. It's a pity that most authors of science fiction stories for children do not show this kind of respect for their audience. I always suspected them of thinking: ""children are to dumb to realise, so we don't have to strive"". The writer of ""Science Fiction (2002)"" is no exception. The story is about a boy who is instigated by his new friends to spy after his parents, because they think that the parents are aliens. As intriguing the idea sounded to me, as much was I bored by its realisation. It seemed to me that the filmmakers had exactly this one idea and tried to stretch it over the ninety minutes by dunking it into a dark, stylish and painstakingly slow atmosphere. The only thing that kept me in my seat was the question ""how do they manage to get out of this implausible rubbish""? And then - bang - they did not even try. So if you are looking for good entertainment for both children and parents, go and watch ""Klatretøsen (2002)"" instead.",negative
"The acting is pretty cheesy, but for the people in this area up in the 80s and are now Detroit area automotive engineers, this is a great movie. I even work with a Japanese supplier so that makes this movie even more funny.<br /><br />Jay Leno was showing his age last night on The Tonight Show! He looks pretty young here...17 years ago. The opening scene, with the drag race on what appears to be Woodward Ave was great.<br /><br />Leno also owns some bad a** cars now, it would e great to see a remake of this with his modern collection. I'm sure the blown Vette in the opening scene was his own car.<br /><br />Typical 80s movie. Watch it and enjoy. No computer generated crap!",positive
"along with it's partner, this is the greatest piece of animation ever created. the images and styles are amazing, and match perfectly with the story which is a brilliantly realistic reinterpretation of our own world, where is has been, and where it could go. quite affecting and sometimes painful to watch, it it a masterpiece of the visual art.",positive
"'The Shining' has wit, visual flair and an iconic performance by Jack Nicholson. 'Ausentes,' however, has none of these things; although it does borrow from its classic forebear; to wit, a man hacking through a door and a woman running around shrieking while clutching a huge kitchen knife. Unlike Stanley Kubrick's great psychological horror film, 'Ausentes' is a work which resonates with a singular lack of genius. It is magnificently, comically awful; it makes the Spice Girls movie look like a work of vital art. 'Ausentes' is the tale of a family that moves to a gated community in the suburbs. All is to be well with the world. They will live in peace and tranquillity; they will calmly go about their business away from those mean old city streets. But no. Ariadna Gill's character Julia starts getting spooked by those things that insist on going bump in the night, by empty supermarkets and doors that close themselves; and her husband Samuel, played by Jordi Molla, switches in an instant from laid-back family man to wild-eyed permanently unshaven nutter, injecting Julia with a drug to keep her under his sudden cosh. Molla, much respected as an actor, is absolutely dreadful in this. Comic rather than menacing, he simply cannot pull off a threatening expression. He just come across as a barroom slime ball who's had one drink too many. So is there anything to redeem this film? No. The script is clunky, the plot non-existent and the cast without merit. Completely without tension and full of be scared now moments, 'Ausentes' is an exercise in how not to make a psychological thriller. It is ridiculous and overblown, but as one of the most unintentionally hilarious films of recent years it's well worth a watch.",negative
